Year,OffenceDivision,OffenceSubdivision,OffenceSubgroup,IncidentsRecorded,"Rate"
2009,A Crimes against the person,A10 Homicide and related offences,A11 Murder,53,1.0
2008,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,41,0.8
2008,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter,4,0.1
2008,A Crimes against the person,A10 Homicide and related offences,A13 Accessory or conspiracy to murder,9,0.2
2008,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,41,0.8
2008,A Crimes against the person,A10 Homicide and related offences,A11 Murder,56,1.1
2017,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"8,422",136.8
2017,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"11,746",190.8
2017,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"8,830",143.4
2017,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"7,866",127.7
2017,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","1,972",32.0
2016,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"7,390",121.8
2016,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"11,154",183.8
2016,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"8,658",142.6
2016,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"8,593",141.6
2016,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","1,901",31.3
2015,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"6,555",110.2
2015,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"8,971",150.9
2015,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"8,387",141.0
2015,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"7,875",132.4
2015,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","1,812",30.5
2014,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"6,295",107.8
2014,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"8,405",144.0
2014,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"8,928",152.9
2014,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"7,787",133.4
2014,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","1,700",29.1
2013,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"6,566",114.5
2013,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"7,638",133.2
2013,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"9,700",169.2
2013,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"7,700",134.3
2013,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","1,591",27.7
2012,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"6,228",110.6
2012,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"6,434",114.2
2012,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"9,872",175.3
2012,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"6,658",118.2
2012,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","1,520",27.0
2011,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"6,084",109.9
2011,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"4,690",84.7
2011,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"9,806",177.1
2011,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"4,882",88.2
2011,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","1,373",24.8
2010,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"6,300",115.4
2010,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"3,265",59.8
2010,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"10,190",186.6
2010,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"3,713",68.0
2010,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","1,573",28.8
2009,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"6,203",115.5
2009,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"2,971",55.3
2009,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"10,575",196.9
2009,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"3,351",62.4
2009,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","1,820",33.9
2008,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"6,000",114.1
2008,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"2,647",50.4
2008,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"9,945",189.2
2008,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"3,121",59.4
2008,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","1,707",32.5
2017,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,370,6.0
2017,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,762,12.4
2017,A Crimes against the person,A30 Sexual offences,A33 Incest,260,4.2
2017,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"3,628",58.9
2017,A Crimes against the person,A30 Sexual offences,A31 Rape,"3,064",49.8
2016,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,231,3.8
2016,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,572,9.4
2016,A Crimes against the person,A30 Sexual offences,A33 Incest,201,3.3
2016,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"3,184",52.5
2016,A Crimes against the person,A30 Sexual offences,A31 Rape,"2,664",43.9
2015,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,116,2.0
2015,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,544,9.1
2015,A Crimes against the person,A30 Sexual offences,A33 Incest,189,3.2
2015,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"2,757",46.4
2015,A Crimes against the person,A30 Sexual offences,A31 Rape,"2,408",40.5
2014,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,84,1.4
2014,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,524,9.0
2014,A Crimes against the person,A30 Sexual offences,A33 Incest,193,3.3
2014,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"2,587",44.3
2014,A Crimes against the person,A30 Sexual offences,A31 Rape,"2,188",37.5
2013,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,55,1.0
2013,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,491,8.6
2013,A Crimes against the person,A30 Sexual offences,A33 Incest,179,3.1
2013,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"2,476",43.2
2013,A Crimes against the person,A30 Sexual offences,A31 Rape,"2,174",37.9
2012,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,43,0.8
2012,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,387,6.9
2012,A Crimes against the person,A30 Sexual offences,A33 Incest,146,2.6
2012,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"2,171",38.5
2012,A Crimes against the person,A30 Sexual offences,A31 Rape,"2,171",38.5
2011,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,29,0.5
2011,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,276,5.0
2011,A Crimes against the person,A30 Sexual offences,A33 Incest,151,2.7
2011,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"1,983",35.8
2011,A Crimes against the person,A30 Sexual offences,A31 Rape,"1,891",34.1
2010,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,38,0.7
2010,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,274,5.0
2010,A Crimes against the person,A30 Sexual offences,A33 Incest,143,2.6
2010,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"1,826",33.4
2010,A Crimes against the person,A30 Sexual offences,A31 Rape,"1,729",31.7
2009,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,24,0.4
2009,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,265,4.9
2009,A Crimes against the person,A30 Sexual offences,A33 Incest,146,2.7
2009,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"1,793",33.4
2009,A Crimes against the person,A30 Sexual offences,A31 Rape,"1,818",33.8
2008,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,25,0.5
2008,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,273,5.2
2008,A Crimes against the person,A30 Sexual offences,A33 Incest,187,3.6
2008,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"1,993",37.9
2008,A Crimes against the person,A30 Sexual offences,A31 Rape,"1,839",35.0
2017,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences,1,0.0
2017,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,327,5.3
2017,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,106,1.7
2016,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,328,5.4
2016,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,139,2.3
2015,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,283,4.8
2015,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,88,1.5
2014,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,225,3.9
2014,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,99,1.7
2013,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,235,4.1
2013,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,139,2.4
2012,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,224,4.0
2012,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,113,2.0
2011,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,162,2.9
2011,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,97,1.8
2010,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,153,2.8
2010,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,71,1.3
2009,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences,1,0.0
2009,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,123,2.3
2009,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,65,1.2
2008,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,135,2.6
2008,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,56,1.1
2017,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,327,5.3
2017,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,254",36.6
2016,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,226,3.7
2016,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,067",34.1
2015,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,165,2.8
2015,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"1,689",28.4
2014,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,143,2.4
2014,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"1,744",29.9
2013,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,148,2.6
2013,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"1,817",31.7
2012,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,193,3.4
2012,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,231",39.6
2011,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,183,3.3
2011,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,231",40.3
2010,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,163,3.0
2010,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,095",38.4
2009,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,174,3.2
2009,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,226",41.4
2008,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,176,3.3
2008,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,235",42.5
2017,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,40,0.6
2017,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,90,1.5
2016,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,36,0.6
2016,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,100,1.6
2015,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,41,0.7
2015,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,106,1.8
2014,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,47,0.8
2014,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,69,1.2
2013,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,38,0.7
2013,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,80,1.4
2012,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,44,0.8
2012,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,79,1.4
2011,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,33,0.6
2011,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,47,0.8
2010,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,47,0.9
2010,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,64,1.2
2009,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,128,2.4
2009,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,64,1.2
2008,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,26,0.5
2008,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,66,1.3
2017,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"1,803",29.3
2017,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,"2,269",36.8
2017,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,471,7.6
2017,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,465,7.6
2017,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,867,14.1
2017,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,"1,037",16.8
2016,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"1,693",27.9
2016,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,"2,080",34.3
2016,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,488,8.0
2016,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,459,7.6
2016,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,844,13.9
2016,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,"1,134",18.7
2015,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"1,649",27.7
2015,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,"1,813",30.5
2015,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,426,7.2
2015,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,309,5.2
2015,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,809,13.6
2015,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,970,16.3
2014,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"1,509",25.8
2014,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,"1,711",29.3
2014,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,406,7.0
2014,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,257,4.4
2014,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,842,14.4
2014,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,909,15.6
2013,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"1,506",26.3
2013,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,"1,586",27.7
2013,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,405,7.1
2013,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,223,3.9
2013,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,916,16.0
2013,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,823,14.4
2012,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"1,461",25.9
2012,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,"1,353",24.0
2012,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,326,5.8
2012,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,140,2.5
2012,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,818,14.5
2012,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,539,9.6
2011,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"1,302",23.5
2011,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,916,16.5
2011,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,291,5.3
2011,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,84,1.5
2011,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,807,14.6
2011,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,302,5.5
2010,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"1,498",27.4
2010,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,642,11.8
2010,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,227,4.2
2010,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,41,0.8
2010,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,867,15.9
2010,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,240,4.4
2009,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"1,473",27.4
2009,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,536,10.0
2009,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,204,3.8
2009,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,32,0.6
2009,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,805,15.0
2009,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,170,3.2
2008,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"1,334",25.4
2008,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,452,8.6
2008,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,188,3.6
2008,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,15,0.3
2008,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,820,15.6
2008,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,128,2.4
2017,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"2,532",41.1
2017,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,845,13.7
2017,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,42,0.7
2017,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,969,15.7
2016,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"2,424",39.9
2016,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,761,12.5
2016,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,52,0.9
2016,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,622,10.2
2015,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"1,915",32.2
2015,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,710,11.9
2015,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,50,0.8
2015,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,526,8.8
2014,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"1,759",30.1
2014,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,634,10.9
2014,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,63,1.1
2014,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,354,6.1
2013,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"1,594",27.8
2013,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,580,10.1
2013,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,62,1.1
2013,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,201,3.5
2012,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"1,661",29.5
2012,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,526,9.3
2012,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,56,1.0
2012,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,60,1.1
2011,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"1,418",25.6
2011,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,531,9.6
2011,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,46,0.8
2011,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,67,1.2
2010,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"1,309",24.0
2010,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,635,11.6
2010,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,57,1.0
2010,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,63,1.2
2009,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"1,177",21.9
2009,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,578,10.8
2009,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,49,0.9
